#{"t_start": 1781184886.0506666, "env_id": "relocate-v1"}
r,l,t,solved
-8.825918,200,229.945206,False
-9.251117,200,231.017701,False
-7.490342,200,232.075845,False
-8.49358,200,233.166592,False
-8.527799,200,234.242644,False
-8.620205,200,235.292042,False
-7.466471,200,236.280479,False
2.8149,189,237.248455,False
-7.644607,200,238.323951,False
58.611897,200,239.385272,False
-5.002621,200,240.489275,False
-7.81306,173,241.415357,False
-2.297051,45,241.659828,False
-9.662326,200,242.74148,False
-2.580972,57,243.050963,False
-3.2667,90,243.535443,False
-9.736427,200,244.617202,False
-1.405066,34,244.802793,False
-2.179422,47,245.061403,False
-1.905344,41,245.286491,False
-1.453756,36,245.480073,False
-8.839304,200,246.535432,False
-8.089215,200,247.594741,False
-8.406847,200,248.583114,False
-8.819889,200,249.621365,False
-7.010802,170,250.524647,False
-5.096654,200,251.540025,False
-5.988477,200,252.537668,False
11.514224,60,252.853111,False
-7.370582,200,253.909254,False
-5.432481,200,255.003034,False
-7.270083,200,256.126459,False
-6.650718,153,256.923148,False
-4.453635,96,257.403422,False
-6.313224,200,258.461435,False
-8.340011,200,259.587106,False
-7.126279,200,260.848499,False
-10.197937,200,261.999473,False
-7.281934,200,263.098315,False
-5.920112,154,263.966423,False
-7.279816,200,265.059241,False
-7.510064,200,266.161373,False
-7.365045,200,267.310287,False
-8.63755,200,268.405064,False
-8.496089,200,269.524853,False
-7.832984,200,270.549177,False
-9.685383,200,271.648988,False
-8.499599,200,272.72164,False
-2.346938,51,272.97652,False
-4.489328,95,273.495143,False
-9.374825,200,274.633505,False
-7.869585,200,275.818751,False
-7.421657,200,276.86258,False
-8.674893,200,277.997935,False
-7.907408,200,279.145165,False
-9.653197,200,280.280922,False
-8.373141,200,281.333965,False
-8.973189,200,282.496963,False
-5.059119,200,283.585772,False
-7.787665,200,284.646637,False
9.492067,200,285.721689,False
8.929247,100,286.257284,False
-4.926258,200,287.355437,False
-5.59524,200,288.480278,False
5.800273,200,289.687661,False
-5.97942,200,290.804838,False
-5.567556,200,291.917375,False
10.467757,54,292.218712,False
-6.050558,200,293.3284,False
-6.688772,200,294.488364,False
-7.048885,200,295.589923,False
-7.007703,200,296.613603,False
-5.97397,200,297.723684,False
4.701072,200,298.797816,False
-7.888392,200,299.858586,False
-6.478646,200,301.01442,False
-7.722172,200,302.138328,False
-8.166452,200,303.222786,False
-8.135882,200,304.299281,False
-7.852558,200,305.361312,False
-0.672796,200,306.406494,False
-9.149237,200,307.446455,False
-7.71226,200,308.523142,False
-6.89083,200,309.557887,False
-0.467622,8,309.602239,False
-3.29039,66,309.946106,False
-10.270909,200,311.001654,False
-0.873982,19,311.096951,False
-10.532241,200,312.172658,False
-0.724035,14,312.247497,False
-7.662705,136,312.920686,False
-11.06028,200,313.977446,False
-0.479353,8,314.021524,False
-0.678269,14,314.094926,False
-0.55017,11,314.150129,False
-0.715167,15,314.232019,False
-0.716333,15,314.313726,False
-0.489823,9,314.364579,False
-9.778025,200,315.415291,False
-0.519526,9,315.465048,False
-8.334529,200,316.551491,False
-9.733674,200,317.644893,False
-9.551284,200,318.73144,False
-0.561599,10,318.786918,False
-0.578607,10,318.840868,False
-7.471347,200,319.880359,False
-9.367422,200,320.953148,False
-7.959105,200,322.025692,False
-5.577373,110,322.620171,False
-0.530753,9,322.669792,False
-8.788273,200,323.759864,False
-7.125644,200,324.84903,False
-8.296953,200,325.958573,False
-7.279387,200,327.005055,False
-8.527361,200,328.103835,False
-9.81871,200,329.198802,False
-8.497387,200,330.279018,False
-8.335584,200,331.362453,False
-8.228853,200,332.434812,False
-8.762677,200,333.508264,False
-8.372619,200,334.590067,False
-8.043401,200,335.684491,False
-7.983458,200,336.758639,False
-7.36927,200,337.848879,False
-10.064686,200,338.935481,False
-10.68485,200,340.030803,False
-10.418567,200,341.094938,False
-10.289045,200,342.137113,False
-10.99063,200,343.240545,False
-9.556301,200,344.30596,False
-10.498475,200,345.367425,False
-10.302352,200,346.420049,False
-10.372932,200,347.489125,False
-10.195342,200,348.539725,False
-9.7269,200,349.620012,False
-10.110069,200,350.67361,False
-9.212023,200,351.714119,False
-10.26393,200,352.7316,False
-9.797122,200,353.80704,False
-9.706859,200,354.865392,False
-9.672378,200,355.951642,False
-9.633002,200,356.997405,False
-7.976639,200,358.075153,False
-8.336196,200,359.154552,False
-8.727342,200,360.185064,False
-9.564803,200,361.274833,False
-9.113423,200,362.377641,False
-7.960917,200,363.389755,False
-7.993728,200,364.416955,False
-7.696797,200,365.45076,False
-7.475762,200,366.541914,False
-7.228337,200,367.56878,False
-7.110894,200,368.590225,False
-7.618024,200,369.595626,False
-8.63546,200,370.631781,False
-9.625627,200,371.715302,False
-8.866417,200,372.750869,False
-9.105347,200,373.828697,False
-8.887993,200,374.874726,False
-8.295512,200,375.943408,False
-9.394381,200,376.999386,False
-7.987752,200,378.092072,False
-8.851927,200,379.16519,False
-7.951684,200,380.235293,False
-6.765423,200,381.303643,False
-7.838101,200,382.327645,False
-5.468247,200,383.35682,False
-1.57974,30,383.509872,False
-7.710916,200,384.540652,False
-3.376529,67,384.881742,False
-8.271694,200,385.96037,False
-8.894932,200,387.028705,False
-3.210202,67,387.395677,False
-1.314888,29,387.56089,False
-1.204535,200,388.666774,False
-5.497312,200,389.739408,False
-8.509833,200,390.832266,False
-1.617657,30,390.996952,False
-3.542419,68,391.387911,False
-6.211639,200,392.479393,False
-6.660531,200,393.565312,False
-3.267845,84,394.017356,False
-2.227618,82,394.462639,False
-8.964815,200,395.534384,False
-1.884211,33,395.69844,False
-6.535596,200,396.749006,False
-5.507431,200,397.855697,False
-2.834769,60,398.182316,False
-3.071137,56,398.489389,False
-0.815663,17,398.58184,False
-0.63831,14,398.661155,False
-0.649534,14,398.739011,False
-10.982478,200,399.780249,False
-11.051833,200,400.836219,False
-11.44557,200,401.875205,False
-11.565856,200,402.941232,False
-12.034434,200,403.979112,False
-11.496403,200,405.046259,False
-10.979794,200,406.112772,False
-1.669992,31,406.284946,False
-1.538825,28,406.439357,False
-7.886974,127,407.135747,False
-1.517751,27,407.286518,False
-1.598282,30,407.453517,False
-11.503244,200,408.556271,False
-11.183043,200,409.601286,False
-4.331613,75,410.012428,False
-1.367441,23,410.12765,False
-1.615473,31,410.297697,False
-10.933224,200,411.377346,False
-1.493191,27,411.521559,False
-10.787166,200,412.596395,False
4.011702,149,413.364892,False
-9.90252,200,414.417187,False
-8.429935,200,415.501975,False
-10.924518,200,416.607733,False
-9.957451,200,417.671384,False
-8.85396,200,418.684676,False
-9.918695,200,419.710806,False
-9.240079,200,420.746877,False
-9.635121,200,421.827539,False
-10.220671,200,422.929763,False
-5.800975,200,424.04027,False
-2.715701,46,424.291713,False
-8.844321,200,425.31672,False
-6.046941,200,426.368249,False
-7.389948,200,427.416659,False
-8.381131,200,428.445573,False
-9.020544,200,429.464527,False
6.06832,200,430.515045,False
-6.735896,200,431.615522,False
-5.02172,200,432.675947,False
-8.511387,200,433.733717,False
-6.830944,200,434.739518,False
-6.658598,200,435.759387,False
-0.979151,27,435.909465,False
-1.410175,34,436.095074,False
-8.18261,200,437.202119,False
-9.158645,200,438.293351,False
-7.587772,200,439.384834,False
-7.335769,197,440.397296,False
-8.579021,200,441.456357,False
15.982077,116,442.056113,False
-5.181139,200,443.143027,False
14.226074,160,443.981304,False
-6.923986,200,445.012804,False
-1.152796,90,445.471646,False
-6.554873,200,446.54526,False
-5.5701,200,447.624066,False
-6.673124,200,448.640594,False
-5.216694,165,449.53946,False
-6.431472,176,450.454781,False
-9.338021,200,451.487567,False
-6.043299,200,452.540177,False
-6.626065,200,453.599046,False
-9.181727,200,454.668338,False
-5.807182,200,455.71112,False
-7.040522,200,456.72606,False
-7.293634,200,457.768494,False
-8.688084,200,458.782965,False
-9.376584,200,459.853271,False
-4.545526,81,460.299053,False
-6.78678,200,461.345883,False
-8.383378,200,462.372064,False
-10.303242,200,463.469111,False
-10.310379,200,464.473878,False
-7.454851,200,465.539067,False
-10.510102,200,466.569684,False
-7.054713,200,467.570072,False
-7.969787,170,468.456118,False
-10.268668,182,469.382917,False
-9.358354,200,470.47551,False
-1.629982,30,470.639827,False
-9.892181,177,471.617736,False
-11.115561,200,472.665111,False
-7.784727,200,473.751245,False
-11.551564,200,474.844548,False
-2.256242,38,475.054463,False
-7.70494,200,476.142408,False
-9.89011,200,477.23955,False
-4.544459,89,477.714606,False
-9.768313,200,478.793924,False
-5.831828,200,479.862933,False
-7.417361,200,480.936433,False
-6.593233,200,481.951135,False
-7.30333,200,483.050104,False
-9.511123,200,484.05507,False
-11.15258,200,485.109608,False
-9.326161,200,486.19929,False
-1.892674,35,486.685731,False
-2.329369,43,486.723805,False
-12.220684,200,486.897412,False
-4.366735,93,486.978754,False
-2.215362,49,487.024302,False
